time,response_time
1628061042.5649183,0.23157548904418945
1628061042.667307,0.32996296882629395
1628061042.7667441,0.4294002056121826
1628061042.8669772,0.5276312828063965
1628061042.9677513,0.627406120300293
1628061043.067698,0.7293546199798584
1628061043.1729245,0.8345811367034912
1628061043.2685366,0.9311926364898682
1628061043.3688073,1.031463384628296
1628061043.469585,1.129239797592163
1628061043.5698938,1.229548692703247
1628061043.6706767,1.3333327770233154
1628061043.7710128,1.433668851852417
1628061043.871862,1.5335185527801514
1628061043.9724119,1.633065938949585
1628061044.0726924,1.734349012374878
1628061044.173468,1.8351247310638428
1628061044.2736285,1.9342825412750244
1628061044.3748221,2.03747820854187
1628061044.4749622,2.1366188526153564
1628061044.5749788,2.234633684158325
1628061044.6758363,2.3384923934936523
1628061044.7768857,2.43753981590271
1628061044.8770125,2.5376665592193604
1628061044.977586,2.639242649078369
1628061045.0780318,2.7376866340637207
1628061045.1780467,2.8377015590667725
1628061045.2786665,2.9393205642700195
1628061045.3790157,3.0406723022460938
1628061045.4798765,3.1425325870513916
1628061045.5800197,3.240673780441284
1628061045.6810322,3.3406870365142822
1628061045.7819874,3.442641496658325
1628061045.8823185,3.541973352432251
1628061045.9821696,3.6448256969451904
1628061046.0830283,3.742683172225952
1628061046.1836507,3.8453073501586914
1628061046.2846985,3.9443533420562744
1628061046.3847606,4.046417236328125
1628061046.4852402,4.148894548416138
1628061046.586028,4.245682954788208
1628061046.686651,4.346305847167969
1628061046.7867246,4.445379257202148
1628061046.886841,4.5454957485198975
1628061046.987857,4.646511793136597
1628061047.0886152,4.747269868850708
1628061047.1888301,4.847484827041626
1628061047.2889,4.947554588317871
1628061047.3898757,5.048530340194702
1628061047.4902446,5.14889931678772
1628061047.590829,5.249483585357666
1628061047.6916041,5.350258827209473
1628061047.7919614,5.449618101119995
1628061047.8926713,5.551326036453247
1628061047.9928167,5.650473356246948
1628061048.0932875,5.750944137573242
1628061048.1941674,5.851824045181274
1628061048.2941709,5.952825546264648
1628061048.3950322,6.052688837051392
1628061048.4951012,6.152757883071899
1628061048.5956073,6.2532639503479
1628061048.696817,6.35447359085083
1628061048.7966778,6.454334497451782
1628061048.8975618,6.555218458175659
1628061048.9979446,6.654600143432617
1628061049.0988848,6.755540370941162
1628061049.1989539,6.85560941696167
1628061049.2993329,6.956989526748657
1628061049.4000535,7.056709051132202
1628061049.5007453,7.157400846481323
1628061049.6011474,7.257802963256836
1628061049.7019966,7.358652114868164
1628061049.8024044,7.459059953689575
1628061049.9026802,7.559335708618164
1628061050.0030172,7.659672737121582
1628061050.1037266,7.760382175445557
1628061050.2036915,7.859348773956299
1628061050.3047783,7.960435628890991
1628061050.405053,8.060710191726685
1628061050.5059469,8.161604166030884
1628061050.6060805,8.261737823486328
1628061050.7063167,8.361974000930786
1628061050.8070118,8.462669134140015
1628061050.9078999,8.563557147979736
1628061051.0086617,8.664319038391113
1628061051.108565,8.764222383499146
1628061051.2102685,8.86492657661438
1628061051.3100119,8.966667413711548
1628061051.4108407,9.066498041152954
1628061051.5109522,9.166609525680542
1628061051.6123142,9.266972303390503
1628061051.7120194,9.366677522659302
1628061051.812532,9.467190027236938
1628061051.913675,9.568333148956299
1628061052.01374,9.668398141860962
1628061052.1145074,9.769165515899658
1628061052.214403,9.86906099319458
1628061052.3157895,9.970447540283203
1628061052.4158397,10.070497751235962
1628061052.516158,10.17081618309021
